type,beta,delta,p,c,gamma,roh,alpha,SSR
bootstrap_505,1e-08,1.457265759384716,47787.53038471271,468.18456278300374,1.0605428255040201e-05,0.4998824555573619,9.535545005661335,28.684013653268252
bootstrap_506,1e-08,0.9332398358898284,1000.0007408938739,303.41292404009175,1.0558237942467443e-05,0.5,9.612458692460713,31.670568936435107
bootstrap_507,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.020196350797136
bootstrap_508,1e-08,1.4572667007318334,47787.54601485096,468.1845827476228,1.060542848948578e-05,0.49988245610549553,9.535544633682317,27.404400610157197
bootstrap_509,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.195987450739985
bootstrap_510,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,29.680465955527726
bootstrap_511,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,31.89245915653979
bootstrap_512,1e-08,1.4572660191540485,47787.52891325409,468.18457774327754,1.0605428131608976e-05,0.4998824560046943,9.53554521221531,29.505823940358848
bootstrap_513,1e-08,1.4572662584370701,47787.53624460999,468.18459489829,1.0605428368892625e-05,0.4998824557845113,9.535544812938648,30.79599345850916
bootstrap_514,1e-08,0.9344251851522906,1000.3959389830864,303.799342191189,1.0559012278918515e-05,0.5,9.61119009428499,32.89378831146194
bootstrap_515,1e-08,0.9332375163334059,1000.0,303.41233316688806,1.0558236460061365e-05,0.5,9.612461175273127,32.31303419022071
bootstrap_516,1e-08,0.8916248166966401,1166.7402464865017,289.55839689856015,1.0298796389097337e-05,0.5,10.039883828231588,29.048119504268367
bootstrap_517,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,31.29314810253605
bootstrap_518,1e-08,1.4572661473901287,47787.541862103346,468.1845553416896,1.060542840885441e-05,0.4998824559128395,9.535544754841364,28.16641493511711
bootstrap_519,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,27.940112577501342
bootstrap_520,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,29.628259499664292
bootstrap_521,1e-08,1.457266899926552,47787.523862824004,468.1845679699037,1.0605428259628538e-05,0.49988245654384744,9.535545031903546,28.958403841664758
bootstrap_522,1e-08,1.4572588002626685,47787.477986919854,468.1835939064712,1.060544307389909e-05,0.49988240863872524,9.535519567815767,31.663196742679617
bootstrap_523,1e-08,0.8761311531521956,1192.0070551482431,284.56324618452356,1.0308169463715466e-05,0.5,10.02494267296381,32.611889319312155
bootstrap_524,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.42580215709592
bootstrap_525,1e-08,0.9332398358898284,1000.0007408938739,303.41292404009175,1.0558237942467443e-05,0.5,9.612458692460713,32.14101211370256
bootstrap_526,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,32.05897009282108
bootstrap_527,1e-08,0.8916242041675606,1166.735305161932,289.55824133226116,1.0298792426963708e-05,0.5,10.039890235769267,32.743179701627
bootstrap_528,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,29.60000621937949
